column_id,title,position,job_id
17ecab7a-19b1-4b88-bbc3-f5b089175d69,Applied,0,b42bce1b-b7c8-4f96-81d5-7c9b5d16e34e
e0889095-54b2-4475-b814-7aa2c621cdb5,Applied,0,334523e7-30e5-40b1-9504-0205bf0ee01c
a1e560b9-8f2e-4afa-8cab-6ed397827b27,Applied,0,11b825af-52e1-4a3d-9cd1-4b65361b0519
c2ce0a29-7fdf-4ca4-acbd-1784330ad661,Applied,0,e9d1f4b8-144a-4b44-9863-33d934b237f2
a322f5cd-061b-46e9-aa79-75a95ba476ea,Applied,0,50949efe-8c2c-4fb1-9d89-54257d70042e
b2a9f49f-b0e9-4929-b0ec-6f00019f22bd,Applied,0,b5c30181-544c-4f04-814a-11bbf419d3af
958fa5e6-d6e6-4981-82a7-a4e6127a943b,Screen,1,50949efe-8c2c-4fb1-9d89-54257d70042e
0341e60c-440e-4ead-b384-f74d7bdcfc9b,Screen,1,b5c30181-544c-4f04-814a-11bbf419d3af
dfd844ad-de55-4927-8572-7936ef0c8815,Screen,1,b42bce1b-b7c8-4f96-81d5-7c9b5d16e34e
bc30b076-a21a-453e-8acb-99c26462e250,Screen,1,11b825af-52e1-4a3d-9cd1-4b65361b0519
e06e2b38-1b81-4ee4-9306-68d662e15354,Screen,1,e9d1f4b8-144a-4b44-9863-33d934b237f2
2aca6227-55cb-4765-9247-493ecd1bdc2e,Screen,1,334523e7-30e5-40b1-9504-0205bf0ee01c
4a9561fe-960b-41cd-87d8-6eb70623f429,Interview,2,e9d1f4b8-144a-4b44-9863-33d934b237f2
d37bf8f2-74cd-45c6-a93b-bc121e0da769,Interview,2,50949efe-8c2c-4fb1-9d89-54257d70042e
8f0184ba-0124-482c-8d36-711dae98f7e5,Interview,2,b42bce1b-b7c8-4f96-81d5-7c9b5d16e34e
a24c19dc-0383-4ce3-aea7-d6ec8ef1dc75,Interview,2,11b825af-52e1-4a3d-9cd1-4b65361b0519
7c23245f-5df7-49a0-a886-11b45fa077ba,Interview,2,334523e7-30e5-40b1-9504-0205bf0ee01c
d6601755-f6b8-479b-854f-e11760c7de09,Interview,2,b5c30181-544c-4f04-814a-11bbf419d3af
4b7a8863-c98a-414c-9ea2-79f933ba5e98,Offer,3,e9d1f4b8-144a-4b44-9863-33d934b237f2
4cf6d1c9-a8a9-471c-8b36-0814746a676f,Offer,3,334523e7-30e5-40b1-9504-0205bf0ee01c
be8dcd4c-96b8-4a2f-9ce9-cec5fccf24e9,Offer,3,11b825af-52e1-4a3d-9cd1-4b65361b0519
243527da-93d6-44eb-b604-0fdc5429a0e1,Offer,3,b5c30181-544c-4f04-814a-11bbf419d3af
b6b80e53-8dd7-42ec-9ae8-dc5065ba206d,Offer,3,50949efe-8c2c-4fb1-9d89-54257d70042e
3614d552-5272-4ee2-9eda-ff4d43a036d1,Offer,3,b42bce1b-b7c8-4f96-81d5-7c9b5d16e34e
97dc7598-ffe2-402b-a5f3-4ecdfdcf22c7,Hired,4,50949efe-8c2c-4fb1-9d89-54257d70042e
13028572-8ecf-48ec-bc1c-28affc6cf73e,Hired,4,11b825af-52e1-4a3d-9cd1-4b65361b0519
d0dba301-536d-4a07-8754-84751a7edf60,Hired,4,334523e7-30e5-40b1-9504-0205bf0ee01c
aaf5a089-a88c-4c27-b808-595fa3540700,Hired,4,b5c30181-544c-4f04-814a-11bbf419d3af
288b994b-cef1-4a43-80ec-ef36a06cdba3,Hired,4,e9d1f4b8-144a-4b44-9863-33d934b237f2
6bba2d40-8e95-4e47-b309-3b951b4d25fa,Hired,4,b42bce1b-b7c8-4f96-81d5-7c9b5d16e34e
